
Fetching 5 files:   0%|          | 0/5 [00:00<?, ?it/s]
Fetching 5 files: 100%|██████████| 5/5 [00:00<00:00, 619.47it/s]
train: 47379 items, 2 epochs, 2960 updates, micro 8 x accum 4
  epoch 1/2 step 50/5923 loss 0.8356 ce 1.0244 reward -0.656 lr 2.50e-05 0.5 min, 0.55 s/step
  epoch 1/2 step 100/5923 loss 0.8591 ce 0.9794 reward -0.558 lr 2.50e-05 0.8 min, 0.50 s/step
  epoch 1/2 step 150/5923 loss 0.2659 ce 0.4747 reward 0.139 lr 2.50e-05 1.3 min, 0.50 s/step
  epoch 1/2 step 200/5923 loss 0.5744 ce 0.6200 reward -0.131 lr 2.50e-05 1.6 min, 0.49 s/step
  epoch 1/2 step 250/5923 loss 0.4173 ce 0.9707 reward -0.534 lr 2.50e-05 2.0 min, 0.48 s/step
  epoch 1/2 step 300/5923 loss 1.0856 ce 1.2626 reward -0.923 lr 2.50e-05 2.4 min, 0.48 s/step
  epoch 1/2 step 350/5923 loss 0.2225 ce 0.6965 reward -0.210 lr 2.49e-05 2.8 min, 0.48 s/step
  epoch 1/2 step 400/5923 loss 1.1257 ce 1.0377 reward -0.563 lr 2.49e-05 3.1 min, 0.47 s/step
  epoch 1/2 step 450/5923 loss 0.5695 ce 0.6215 reward -0.091 lr 2.49e-05 3.6 min, 0.48 s/step
  epoch 1/2 step 500/5923 loss 0.2051 ce 0.6773 reward -0.081 lr 2.49e-05 4.0 min, 0.48 s/step
  epoch 1/2 step 550/5923 loss 0.4825 ce 0.9135 reward -0.521 lr 2.49e-05 4.5 min, 0.49 s/step
  epoch 1/2 step 600/5923 loss 1.0775 ce 0.8507 reward -0.348 lr 2.48e-05 4.9 min, 0.49 s/step
  epoch 1/2 step 650/5923 loss 0.1633 ce 0.2974 reward 0.343 lr 2.48e-05 5.3 min, 0.49 s/step
  epoch 1/2 step 700/5923 loss 1.2539 ce 0.9205 reward -0.470 lr 2.48e-05 5.8 min, 0.49 s/step
  epoch 1/2 step 750/5923 loss 0.0280 ce 0.6507 reward -0.163 lr 2.48e-05 6.3 min, 0.50 s/step
  epoch 1/2 step 800/5923 loss 0.4744 ce 0.5201 reward 0.066 lr 2.47e-05 6.6 min, 0.50 s/step
  epoch 1/2 step 850/5923 loss 0.3431 ce 0.8962 reward -0.419 lr 2.47e-05 7.0 min, 0.49 s/step
  epoch 1/2 step 900/5923 loss 1.2709 ce 0.9231 reward -0.443 lr 2.47e-05 7.4 min, 0.49 s/step
  epoch 1/2 step 950/5923 loss 0.4574 ce 0.4658 reward 0.150 lr 2.46e-05 7.8 min, 0.49 s/step
  epoch 1/2 step 1000/5923 loss 0.6631 ce 0.8612 reward -0.354 lr 2.46e-05 8.2 min, 0.49 s/step
  epoch 1/2 step 1050/5923 loss 0.5961 ce 0.5087 reward 0.103 lr 2.45e-05 8.5 min, 0.49 s/step
  epoch 1/2 step 1100/5923 loss 1.2008 ce 1.2451 reward -0.905 lr 2.45e-05 9.0 min, 0.49 s/step
  epoch 1/2 step 1150/5923 loss 0.3922 ce 0.8192 reward -0.353 lr 2.44e-05 9.4 min, 0.49 s/step
  epoch 1/2 step 1200/5923 loss 0.0677 ce 0.2037 reward 0.489 lr 2.44e-05 9.9 min, 0.50 s/step
  epoch 1/2 step 1250/5923 loss 0.3528 ce 0.6720 reward -0.153 lr 2.43e-05 10.3 min, 0.49 s/step
  epoch 1/2 step 1300/5923 loss 0.5678 ce 0.6364 reward -0.049 lr 2.43e-05 10.7 min, 0.49 s/step
